risk_code,risk_category,risk_name,risk_description,severity,rule_ids,analyzer_fields,analyzer_names,detection_type,action_types,attack_vector,false_positive_rate,mitigation,references
RISK-009,Authority Control,Account takeover,Non-owned account closures,CRITICAL,,"has_approve,approve_count,unlimited_approve_count,has_revoke,revoke_count",token_instructions,heuristic,,Non-owned account closures,unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/token_instructions.md
RISK-027,Authority Control,Authority-change fingerprints,Known patterns for authority modification instructions,CRITICAL,"block-authority-change-fingerprint,block-presigned-authority-change","instruction_data:matched_names,instruction_data:has_match,instruction_data:has_authority_change,instruction_data:match_count,instruction_data:categories",instruction_data,pattern,block,Known patterns for authority modification instructions,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/instruction_data.md
RISK-036,Authority Control,Unlimited minting,Mint authority can create infinite supply,CRITICAL,"block-freezable-tokens,alert-freezable-tokens,block-all-mints-freezable,block-freeze-authority-on-blocklist,alert-multiple-risky-mints","token_mint:freeze_authority_present,token_mint:mint_authority_present,token_mint:centralized_control,token_mint:mints_checked,token_mint:risky_mint_count",token_mint,heuristic,"alert,block",Mint authority can create infinite supply,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/token_mint.md
RISK-012,Burn & Close,Suspicious burn patterns,Large or unusual token burns,CRITICAL,"block-burn-with-approval,alert-any-burn,block-burn-with-approval,alert-any-burn,block-mint-burn","has_approve,approve_count,unlimited_approve_count,has_revoke,revoke_count",token_instructions,pattern,"alert,block",Large or unusual token burns,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/token_instructions.md
RISK-002,Program Reputation,Multi-program exploits,Coordinated attacks across programs,CRITICAL,"custom-allowlist-only,test-block-excessive-signers,test-block-large-transfers,test-alert-many-writable,block-malicious-programs,allowlist-only,max-trade-size,complex-transaction-warning,require-verified-for-high-value,alert-rapid-transactions","instruction_count,account_keys_count,writable_accounts_count,signers_count,amount",basic,heuristic,"pass,alert,block",Coordinated attacks across programs,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/basic.md
RISK-006,Program Reputation,Blocked programs,Known malicious/scam programs,CRITICAL,"blocked-programs,blocked-programs,blocked-programs,blocked-programs","risk_score,risk_level,delegation_detected,delegation_is_unlimited,delegation_count",security,signature,block,Known malicious/scam programs,0.0,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/security.md
RISK-014,Program Reputation,Large SOL outflows,Transfers exceeding thresholds (potential wallet drain),CRITICAL,,"has_sol_transfer,sol_transfer_count,total_sol_transferred,max_sol_transfer,large_sol_transfer",system_program,heuristic,,Transfers exceeding thresholds (potential wallet drain),unknown,Detection via analyzer fields,sol-shield/core/src/rules/analyzers/core/system_program.md
RISK-024,Program Reputation,Unknown program CPIs,Calls to unverified programs via CPI,CRITICAL,"block-unknown-cpi-programs,alert-unknown-cpi-programs","inner_program_count,inner_programs,unknown_inner_programs,unknown_program_count,has_deep_cpis",inner_instruction,heuristic,"alert,block",Calls to unverified programs via CPI,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/inner_instruction.md
RISK-026,Program Reputation,Nested program exploits,Coordinated attacks across multiple CPI levels,CRITICAL,"block-deep-cpi-chains,alert-deep-cpi-chains,block-unknown-cpi-programs,alert-unknown-cpi-programs,block-high-cpi-risk,alert-multiple-unknown-cpis","inner_program_count,inner_programs,unknown_inner_programs,unknown_program_count,has_deep_cpis",inner_instruction,heuristic,"alert,block",Coordinated attacks across multiple CPI levels,low,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/inner_instruction.md
RISK-004,Token Delegation,Unlimited token delegations,u64::MAX approvals (wallet drainer signature),CRITICAL,"block-delegation-to-unverified,require-verified-for-critical-operations,unlimited-delegation,multiple-delegations,unlimited-delegation,critical-security-all-networks,unlimited-delegation,unlimited-delegation,multiple-delegations","risk_score,risk_level,delegation_detected,delegation_is_unlimited,delegation_count",security,signature,"alert,block",u64::MAX approvals (wallet drainer signature),0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/security.md
RISK-046,Token Safety,Rugpull tokens,Tokens flagged as rugged by Rugcheck,CRITICAL,"block-confirmed-rugpulls,block-danger-level-tokens","rugcheck:is_rugged,rugcheck:risk_score,rugcheck:danger_count,rugcheck:warning_count,rugcheck:has_mint_authority",rugcheck,heuristic,block,Tokens flagged as rugged by Rugcheck,0.001,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/third_party/rugcheck.md
RISK-003,Transaction Pattern,Abnormal transaction patterns,Unusual instruction counts or account usage,CRITICAL,"custom-allowlist-only,test-block-excessive-signers,test-block-large-transfers,test-alert-many-writable,block-malicious-programs,allowlist-only,max-trade-size,complex-transaction-warning,require-verified-for-high-value,alert-rapid-transactions","instruction_count,account_keys_count,writable_accounts_count,signers_count,amount",basic,pattern,"pass,alert,block",Unusual instruction counts or account usage,unknown,Blocks transaction when detected,sol-shield/core/src/rules/analyzers/core/basic.md
